#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP,MELIKEY
1,No Time,Action Bronson,2013-06-11,79,73,72,-5,47,4:37,36,40,0
2,Foldin Clothes,J. Cole,2016-12-09,162,50,71,-10,60,5:17,22,64,0
3,The Ways (with Swae Lee),Khalid,2018-02-09,140,72,73,-6,57,3:59,7,80,0
4,Spitshine,Smino,2017-03-14,90,68,72,-8,77,2:10,15,51,1
5,Wax,Juicy J,2013-12-06,128,75,88,-7,64,3:33,1,51,0
6,The City (feat. Phoebe Ryan),Skizzy Mars,2015-02-03,93,86,65,-4,66,3:50,3,60,0
7,Yellow,Aminé,2017-07-28,129,52,86,-6,21,3:00,11,60,0
8,Actin Crazy,Action Bronson,2015-03-23,166,62,50,-7,25,3:59,20,59,0
9,Dancing With Our Hands Tied,Taylor Swift,2017-11-10,160,70,62,-7,24,3:32,7,68,0
10,Let's Go,Khalid,2017-04-27,108,37,78,-7,43,3:25,57,72,0
11,ITAL (Roses),Lupe Fiasco,2012-09-25,107,67,55,-8,56,4:25,15,42,1
12,Door Swangin,2 Chainz,2017-06-16,144,50,77,-7,35,3:08,11,53,
13,Iron & Steel,Quinn XCII,2018-02-02,140,49,79,-5,58,3:24,48,62,
14,Anita,Smino,2017-02-08,64,58,77,-8,79,3:40,18,59,
15,Gold Watch,Lupe Fiasco,2007-01-01,84,73,70,-6,56,4:13,6,46,
16,Trippy,Lil Wayne,2013-01-01,136,61,87,-6,52,4:23,7,49,
17,Land of the Snakes,J. Cole,2013-06-14,104,73,77,-8,48,4:14,23,66,
18,On Fire,Young Thug,2017-06-16,154,42,77,-7,53,4:00,26,53,
19,Beef,Mos Def,2005-12-13,78,53,63,-4,66,2:14,1,29,
20,BOOM!,Lil Yachty,2018-03-09,133,70,84,-6,75,3:50,19,73,
21,Space Cadet,Quality Control,2017-12-08,140,52,82,-7,31,3:01,29,55,
22,Jamba,"Tyler, The Creator",2013-04-01,80,49,72,-8,66,3:32,4,59,
23,Yomi,Fetty Wap,2018-01-19,150,69,70,-6,81,3:36,40,42,
24,Forbidden Fruit,J. Cole,2013-06-14,110,51,84,-9,41,4:29,55,70,
25,Winter,Khalid,2017-04-27,100,57,68,-7,37,4:02,10,72,
26,Harambe,Young Thug,2016-08-26,132,49,82,-6,22,3:10,5,55,
27,Banana Clip,Miguel,2017-12-01,85,71,64,-5,61,3:22,10,70,
28,Interview,Quality Control,2017-12-08,132,64,86,-6,35,2:54,2,55,
29,Doe-Active,A$AP Ferg,2014-11-17,150,73,87,-6,77,3:26,19,45,
30,Girl On A Train,Skizzy Mars,2016-04-08,94,68,71,-6,62,3:03,22,67,
31,JELLO,BROCKHAMPTON,2017-08-25,140,57,92,-7,64,4:00,62,63,
32,EdEddnEddy,J.I.D,2017-03-10,158,43,77,-10,32,2:21,15,57,
33,Trick Me,CyHi The Prynce,2017-11-17,72,62,62,-6,17,4:34,4,50,
34,Numbers On The Boards,Pusha T,2013-01-01,85,56,68,-6,39,2:44,15,49,
35,Christ Conscious,Joey Bada$$,2015-01-20,87,72,65,-5,59,2:54,1,57,
36,Let Me Breathe,Action Bronson,2017-08-25,180,69,65,-7,37,2:53,14,54,
37,Bool'n,MadeinTYO,2016-08-19,140,72,80,-5,46,3:28,12,51,
38,Holiday,Quality Control,2017-12-08,128,67,89,-5,64,3:30,16,54,
39,"Kick, Push",Lupe Fiasco,2006-06-27,95,81,65,-5,51,4:14,16,59,
40,Full Circle,Quinn XCII,2015-08-06,78,55,75,-8,48,3:38,20,68,
41,This Is Why We Can’t Have Nice Things,Taylor Swift,2017-11-10,164,79,56,-6,47,3:27,1,67,
42,Still Serving,21 Savage,2017-10-30,116,54,93,-7,66,3:52,41,66,
43,Hellcat,Quality Control,2017-12-08,142,58,78,-6,7,4:00,9,58,
44,No Safety,Smokepurpp,2017-09-29,125,51,95,-8,28,2:06,17,48,
45,Hopeless,Khalid,2017-04-27,116,70,79,-5,57,2:48,64,71,
46,Blinds,Aminé,2017-07-28,90,45,83,-6,78,1:27,6,53,
47,Long Night (feat. Chance the Rapper),Hoodie Allen,2013-02-21,101,81,77,-4,83,3:14,7,55,
48,Runner,A$AP Mob,2016-10-31,130,55,86,-7,31,3:20,10,57,
49,At the Door,Lil Pump,2017-10-06,140,57,92,-9,43,2:03,5,61,
50,O Let's Do It (feat. Cap),Waka Flocka Flame,2010-10-01,130,51,68,-6,34,4:09,1,47,
51,Vice City (feat. Black Hippy),Jay Rock,2015-09-11,115,55,84,-7,51,4:44,16,65,
52,The Cut Off (feat. kiLL edward),J. Cole,2018-04-20,78,54,74,-8,34,3:57,19,86,
53,Might as Well,Future,2017-06-30,134,55,91,-7,80,3:28,12,58,
54,Odee,A Boogie Wit da Hoodie,2018-04-20,86,48,85,-7,29,2:41,21,61,
55,Threatening Nature,Ab-Soul,2016-12-09,74,70,66,-5,56,3:25,10,41,
56,CC,Migos,2018-01-26,134,72,85,-7,82,4:19,23,66,
57,Tomorrow Til Infinity (feat. Gunna),Young Thug,2017-06-16,136,52,86,-7,28,3:48,3,63,
58,Drippin',Young Thug,2016-03-25,104,60,95,-7,35,3:06,5,53,
59,Really Be (Smokin N Drinkin),YG,2014-01-01,146,54,77,-8,68,5:11,1,50,
60,The Flyest,O.T. Genasis,2015-04-21,116,46,88,-3,42,3:48,4,37,
61,Cocktail,EARTHGANG,2018-02-23,107,71,76,-4,30,3:05,16,55,
62,Hannibal Interlude (feat. Hannibal Buress),Lil Dicky,2015-07-31,120,67,77,-8,77,2:01,2,51,
63,Tell My Haters,Lil Skies,2017-12-12,144,69,79,-6,61,2:00,8,65,
64,LAUDER,J.I.D,2017-03-10,92,67,68,-9,65,4:03,47,52,
